ID,Nom_C,Nom_L,volvox,volmm3
146,tPuMR,Thal_PuM_R,1480,1480
147,tPuAL,Thal_PuA_L,266,266
148,tPuAR,Thal_PuA_R,274,274
149,tPuLL,Thal_PuL_L,214,214
150,tPuLR,Thal_PuL_R,200,200
151,ACCsubL,ACC_sub_L,1343,1343
152,ACCsubR,ACC_sub_R,1056,1056
153,ACCpreL,ACC_pre_L,5016,5016
154,ACCpreR,ACC_pre_R,5184,5184
155,ACCsupL,ACC_sup_L,4840,4840
156,ACCsupR,ACC_sup_R,4264,4264
157,VentStrL,Vent_Str_L,1297,1297
158,VentStrR,Vent_Str_R,1193,1193
159,VTAL,VTA_L,71,71
160,VTAR,VTA_R,65,65
161,SNpcL,SN_pc_L,251,251
162,SNpcR,SN_pc_R,270,270
163,SNprL,SN_pr_L,425,425
164,SNprR,SN_pr_R,445,445
165,RedNL,Red_N_L,464,464
166,RedNR,Red_N_R,486,486
167,LCL,LC_L,48,48
168,LCR,LC_R,53,53
169,RapheD,Raphe_D,148,148
170,RapheM,Raphe_M,65,65
